Song Title,Artist Name,Key,BPM,Year,Style
All of Me,Jazz Standards,C,130,1931,Jazz,
The Way You Look Tonight,Frank Sinatra,Eb,132,1964,Jazz,
Meditation,Astrud Gilberto,G,132,1965,Jazz,
Cheek to Cheek,Ella Fitzgerald,F,134,1956,Jazz,
The Girl from Ipanema (Play-Along Backing Tracks),Jazz Standards,C,136,1962,Jazz,
All Blues,Jazz Standards,G,138,1959,Jazz,
Desafinado (Off Key),Antônio Carlos Jobim,E,139,1963,Jazz,
One Note Samba (Samba de uma nota so),Frank Sinatra & Antônio Carlos Jobim,G,139,1969,Jazz,
L.O.V.E.,Michael Bublé,G,142,2007,Jazz,
Águas de Março,Elis Regina,Bb,144,1974,Jazz,
Wave,Antônio Carlos Jobim,D,145,1967,Jazz,
Chega De Saudade (No More Blues),Antônio Carlos Jobim,D,145,1963,Jazz,
Desafinado (Off Key),João Gilberto,Eb,145,1958,Jazz,
Desafinado,Jazz Standards,Eb,146,1958,Jazz,
Hallelujah I Love Her So,Ray Charles,B,147,1956,Jazz,
Águas de Março,João Gilberto & Miúcha,B,152,1976,Jazz,
Autumn Leaves (Play-Along Backing Tracks),Jazz Standards,Gm,153,1945,Jazz,
L-O-V-E,Nat King Cole,G,155,1964,Jazz,
There Will Never Be Another You,Jazz Standards,Eb,162,1942,Jazz,
Só danço samba (I Only Dance Samba),Stan Getz,D,164,1963,Jazz,
Berimbau,Astrud Gilberto,Bbm,175,1965,Jazz,
Blue Bossa (Play-Along Backing Tracks),Jazz Standards,Cm,180,1963,Jazz,
No Ordinary Love,Sade,Bm,83.170,1992,Jazz,
The Sweetest Taboo,Sade,Bbm,91.500,1985,Jazz,
Caravan,Jazz Standards,Fm,134.500,1936,Jazz,
Take Five,The Dave Brubeck Quartet,Ebm,160.970,1959,Jazz,
When the Saints Go Marching in (Big Band Version),Traditional,C,188.140,1896,Jazz,
Quando,Michael Bublé & Nelly Furtado,A,116,2000,latin,
Água de Beber,Astrud Gilberto,Am,74,1965,Latin Music,
No me platiques más,Luis Miguel,Bb,79,1991,Latin Music,
Samba da Benção,Bebel Gilberto,Db,81,2004,Latin Music,
La puerta,Luis Miguel,Ab,82,1991,Latin Music,
Historia de un amor,Luis Miguel,Am,83,2005,Latin Music,
Usted,Luis Miguel,Bb,83,1991,Latin Music,
"Risk It All,Bruno Mars,D,86,2026,Latin Music,,""Soul,Pop"","
"O barquinho,João Gilberto & Antônio Carlos Jobim,G,86,1961,Latin Music,,""Soul,Pop"","
"O pato,João Gilberto,D,88,1962,Latin Music,,""Soul,Pop"","
"Despacito (remix),Luis Fonsi & Daddy Yankee & Justin Bieber,D,89,2017,Latin Music,,""Soul,Pop"","
La barca,Luis Miguel,Eb,89,1991,Latin Music,
Contigo Aprendí,Armando Manzanero,Bb,90,1967,Latin Music,
The Shadow of Your Smile,Engelbert Humperdinck,Gm,90,1968,Latin Music,
Bam Bam,Camila Cabello & Ed Sheeran,Ab,95,2022,Latin Music,
Bésame mucho,Andrea Bocelli,Cm,95,2006,Latin Music,
Take It Easy My Brother Charlie,Astrud Gilberto,Am,96,1972,Latin Music,
"Taki Taki,""DJ Snake & Selena Gomez, Ozuna & Cardi B"",C#m,96,2018,Latin Music,"
Manhã de Carnaval,Astrud Gilberto,Dm,96,1965,Latin Music,
Inolvidable,Luis Miguel,Cm,97,1991,Latin Music,
Goodbye Sadness (Tristeza),Astrud Gilberto,Bb,101,1967,Latin Music,
El cuarto de tula,Buena Vista Social Club,Am,105,1997,Latin Music,
Meditation,Frank Sinatra & Antônio Carlos Jobim,Bb,105,1967,Latin Music,
Mi gente (Remix),J Balvin feat. Beyoncé & Willy William,Em,105,2017,Latin Music,
Havana (No Rap Version),Camila Cabello,Gm,105,2017,Latin Music,
Havana,Camila Cabello & Young Thug,Gm,105,2017,Latin Music,
Brazil (Aquarela do Brasil),Antônio Carlos Jobim,Eb,111,1970,Latin Music,
Smooth,Santana & Rob Thomas,Am,116,1999,Latin Music,
So Nice (Summer Samba),Astrud Gilberto,Db,116,1967,Latin Music,
Dame Un Grrr,Fantomel & Kate Linn,Cm,118,2025,Latin Music,
Is This Love,Groove Da Praia,A,120,2005,Latin Music,
Bésame mucho (spanish vocal),1940s Standards,Cm,120,1941,Latin Music,
Bailamos (remix),Enrique Iglesias,Am,124,1999,Latin Music,
Ai Se Eu Te Pego (If I Get Ya) (Worldwide Remix),Michel Teló & Pitbull,B,124,2011,Latin Music,
Sway,Michael Bublé,Dm,126,2004,Latin Music,
Que calor,Major Lazer & J Balvin & El Alfa,Eb,126,2019,Latin Music,
Insensatez,Stan Getz & Luiz Bonfá,Am,128,1963,Latin Music,
Corcovado (Quiet Nights of Quiet Stars),Astrud Gilberto & Stan Getz & João Gilberto,C,129,1964,Latin Music,
Danza kuduro,Don Omar & Lucenzo,Am,130,2010,Latin Music,
Pepas,Farruko,Em,130,2021,Latin Music,
Something Serious,Bruno Mars,Am,132,2026,Latin Music,
Meditation,Astrud Gilberto,G,132,1965,Latin Music,
The Girl from Ipanema,Frank Sinatra,F,133,1967,Latin Music,
Desafinado (Off Key),Antônio Carlos Jobim,E,139,1963,Latin Music,
One Note Samba (Samba de uma nota so),Frank Sinatra & Antônio Carlos Jobim,G,139,1969,Latin Music,
Águas de Março,Elis Regina,Bb,144,1974,Latin Music,
Wave,Antônio Carlos Jobim,D,145,1967,Latin Music,
Chega De Saudade (No More Blues),Antônio Carlos Jobim,D,145,1963,Latin Music,
Desafinado (Off Key),João Gilberto,Eb,145,1958,Latin Music,
Águas de Março,João Gilberto & Miúcha,B,152,1976,Latin Music,
Só danço samba (I Only Dance Samba),Stan Getz,D,164,1963,Latin Music,
Solamente una vez,Luis Miguel,F,168,1994,Latin Music,
Berimbau,Astrud Gilberto,Bbm,175,1965,Latin Music,
El dia que me quieras,Luis Miguel,Ab,79.900,1994,Latin Music,
Sabor A Mi,Luis Miguel,Bb,89.950,1998,Latin Music,
Perfidia,Luis Miguel,Em,97.800,2001,Latin Music,
Smooth Operator,Sade,Dm,119.300,1984,Latin Music,
Bésame mucho (English),1940s Standards,Cm,119.900,1944,Latin Music,
Bésame mucho,Luis Miguel,Gm,122.930,2000,Latin Music,
I Have Nothing,The Bodyguard (Whitney Houston),G,51,1993,Love,
At Last,Etta James,F,58,1960,Love,
Dance With Me,Bruno Mars,B,61,2026,Love,
I Don't Want to Miss a Thing,Aerosmith,D,61,1998,Love,
Without You,Mariah Carey,F#,61,1994,Love,
Killing Me Softly with His Song,Roberta Flack,Fm,61,1973,Love,
All of Me,John Legend,Ab,63,2013,Love,
Your Song,Elton John,Eb,64,1970,Love,
Saving All My Love For You,Whitney Houston,A,66,1985,Love,
Someone Like You,Adele,A,67,2011,Love,
I Will Always Love You,The Bodyguard (Whitney Houston),A,67,1992,Love,
You're Still the One,Teddy Swims,Db,67,2020,Love,
Rocket Man (I Think It's Going to Be a Long,Elton John,Bb,68,1972,Love,
Fix You,Coldplay,Eb,69,2005,Love,
Like I'm Gonna Lose You,Meghan Trainor & John Legend,C,72,2015,Love,
When I Was Your Man,Bruno Mars,C,73,2013,Love,
"Would You Mind,""Earth, Wind & Fire"",E,74,1999,Love,"
Best Part,Daniel Caesar & H.E.R.,D,75,2017,Love,
Careless Whisper,George Michael (Wham!),Dm,76,1984,Love,
Love of My Life,Queen,F,76,1975,Love,
No me platiques más,Luis Miguel,Bb,79,1991,Love,
Stickwitu,The Pussycat Dolls,A,80,2005,Love,
November Rain,Guns N' Roses,B,80,1992,Love,
I Want to Know What Love Is,Mariah Carey,Gb,80,2009,Love,
La puerta,Luis Miguel,Ab,82,1991,Love,
You're Beautiful,James Blunt,Eb,82,2005,Love,
You Make Me Feel Brand New,Simply Red,Eb,82,2003,Love,
Historia de un amor,Luis Miguel,Am,83,2005,Love,
Usted,Luis Miguel,Bb,83,1991,Love,
Risk It All,Bruno Mars,D,86,2026,Love,
Versace on the Floor,Bruno Mars,D,87,2016,Love,
(They Long to Be) Close to You,The Carpenters,G,88,1970,Love,
Contigo Aprendí,Armando Manzanero,Bb,90,1967,Love,
Killing Me Softly,Colbie Caillat,Em,90,2010,Love,
The Shadow of Your Smile,Engelbert Humperdinck,Gm,90,1968,Love,
More Than Words,Extreme,Gb,92,1990,Love,
Human Nature,Michael Jackson,D,93,1983,Love,
What's Love Got to Do with It,Tina Turner,G#m,98,1984,Love,
I Wanna Love You,Akon & Snoop Dogg,Am,100,2006,Love,
Meditation,Frank Sinatra & Antônio Carlos Jobim,Bb,105,1967,Love,
Un-Break My Heart,Toni Braxton,Bm,110,1996,Love,
Killing Me Softly,Luther Vandross,F,110,1994,Love,
Stay,Rihanna & Mikky Ekko,Am,112,2012,Love,
Can't Help Falling in Love (Mark Ronson remix),Elvis (film),D,112,2022,Love,
Quando,Michael Bublé & Nelly Furtado,A,116,2000,love,
You Are the Sunshine of My Life,Stevie Wonder,B,134,1972,Love,
Just the Way You Are,Billy Joel,D,139,1977,Love,
Solamente una vez,Luis Miguel,F,168,1994,Love,
Perfect,Ed Sheeran,Ab,63.333,2017,Love,
Back at One,Mark Wills,B,64.925,1999,Love,
Far Away,Nickelback,B,66.500,2005,Love,
Sabor A Mi,Luis Miguel,Bb,89.950,1998,Love,
Sexual Healing,Marvin Gaye,Eb,94.400,1982,Love,
If You Don't Know Me By Now,Simply Red,Bb,94.900,1989,Love,
Perfidia,Luis Miguel,Em,97.800,2001,Love,
Yesterday,The Beatles,F,97.890,1965,Love,
She Will Be Loved,Maroon 5,Cm,102.020,2004,Love,
Bésame mucho (English),1940s Standards,Cm,119.900,1944,Love,
Bésame mucho,Luis Miguel,Gm,122.930,2000,Love,
Part-Time Lover,Stevie Wonder,Bbm,177.820,1985,Love,
Killing in the Name,Rage Against the Machine,Dm,88,1992,Metal,
Stuck With U,Ariana Grande & Justin Bieber,Ab,59,2020,Pop,
Dance With Me,Bruno Mars,B,61,2026,Pop,
Without You,Mariah Carey,F#,61,1994,Pop,
Easy,Faith No More,Ab,62,1992,Pop,
All of Me,John Legend,Ab,63,2013,Pop,
Golden Hour,JVKE,E,63,2022,Pop,
Your Song,Elton John,Eb,64,1970,Pop,
Bubbly,Colbie Caillat,A,65,2007,Pop,
Greatest Love of All,Whitney Houston,A,65,1986,Pop,
Always Remember Us This Way,A Star is Born (2018 film) (Lady Gaga),Am,65,2018,Pop,
"After the Love Has Gone,""Earth, Wind & Fire"",F,65,1979,Pop,"
Escape (The Piña Colada Song),Jack Johnson (The Secret Life of Walter Mitty),A,67,2013,Pop,
Someone Like You,Adele,A,67,2011,Pop,
What's Up?,4 Non Blondes,A,67,1993,Pop,
Something,The Beatles,C,67,1969,Pop,
Die for You (remix),The Weeknd & Ariana Grande,C#m,67,2023,Pop,
Die for You,The Weeknd,C#m,67,2017,Pop,
You're Still the One,Teddy Swims,Db,67,2020,Pop,
Rocket Man (I Think It's Going to Be a Long,Elton John,Bb,68,1972,Pop,
Ribbon in the Sky,Stevie Wonder,Eb,68,1982,Pop,
Let It Be,The Beatles,C,70,1970,Pop,
Paradise,Coldplay,Dm,70,2011,Pop,
Bad Day,Daniel Powter,Eb,70,2005,Pop,
Easy on Me,Adele,F,71,2021,Pop,
I Smile,Kirk Franklin,Db,72,2011,Pop,
Positions,Ariana Grande,Dm,72,2020,Pop,
When I Was Your Man,Bruno Mars,C,73,2013,Pop,
Yummy,Justin Bieber,Dm,73,2020,Pop,
Talking to the Moon,Bruno Mars,E,73,2010,Pop,
Photograph,Nickelback,Eb,73,2005,Pop,
The Scientist,Coldplay,F,73,2002,Pop,
Leave the Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),Am,74,2021,Pop,
Hey Jude,The Beatles,F,74,1968,Pop,
Human,Rag'n'Bone Man,Bbm,75,2016,Pop,
Savage Love (Laxed – Siren Beat),Jason Derulo & Jawsh 685,Eb,75,2020,Pop,
Lately,Stevie Wonder,Db,76,1980,Pop,
Careless Whisper,George Michael (Wham!),Dm,76,1984,Pop,
Mirrors,Justin Timberlake,Cm,77,2013,Pop,
Ghost,Justin Bieber,D,77,2021,Pop,
Complicated,Avril Lavigne,F,78,2002,Pop,
No me platiques más,Luis Miguel,Bb,79,1991,Pop,
One Moment In Time,Whitney Houston,C,79,1988,Pop,
Thinking Out Loud,Ed Sheeran,D,79,2014,Pop,
Hello,Adele,Fm,79,2015,Pop,
Halo,Beyoncé,A,80,2009,Pop,
Thank You,Dido,B,80,1998,Pop,
See You Again,Wiz Khalifa & Charlie Puth,Bb,80,2015,Pop,
It Ain't Over 'til It's Over,Lenny Kravitz,Db,80,1991,Pop,
I Want to Know What Love Is,Mariah Carey,Gb,80,2009,Pop,
Come & Get It,Selena Gomez,Gm,80,2013,Pop,
Shape of You,Jamie Cullum,Cm,81,2017,Pop,
Smokin Out the Window,Silk Sonic,D,82,2021,Pop,
Take a Bow,Rihanna,E,82,2008,Pop,
You Make Me Feel Brand New,Simply Red,Eb,82,2003,Pop,
I'm Not the Only One,Sam Smith,F,82,2014,Pop,
Too Little Too Late,JoJo,A,83,2006,Pop,
Historia de un amor,Luis Miguel,Am,83,2005,Pop,
The Reason,Hoobastank,E,83,2004,Pop,
Overjoyed,Stevie Wonder,Eb,83,1986,Pop,
Stay with Me,Sam Smith,C,85,2014,Pop,
Royals,Lorde,D,85,2013,Pop,
Bad Habit,Steve Lacy,Db,85,2022,Pop,
White Flag,Dido,Dm,85,2003,Pop,
Cruisin',Smokey Robinson,E,85,1979,Pop,
California King Bed,Rihanna,G,85,2010,Pop,
Ironic,Alanis Morissette,B,86,1995,Pop,
Miss Independent,Ne-Yo,Db,86,2008,Pop,
Billionaire,Travie McCoy & Bruno Mars,A,87,2010,Pop,
Now and Then,The Beatles,Am,87,2023,Pop,
Chandelier,Sia,Bbm,87,2014,Pop,
Umbrella,Rihanna & Jay-Z,Bbm,87,2007,Pop,
Versace on the Floor,Bruno Mars,D,87,2016,Pop,
Rude Boy,Rihanna,Ebm,87,2009,Pop,
As It Was,Prep,F#m,87,2022,Pop,
Unstoppable,Sia,F#m,87,2016,Pop,
Irreplaceable,Beyoncé,Bb,88,2006,Pop,
Sunday Morning,Maroon 5,C,88,2004,Pop,
(They Long to Be) Close to You,The Carpenters,G,88,1970,Pop,
Despacito (remix),Luis Fonsi & Daddy Yankee & Justin Bieber,D,89,2017,Pop,
La barca,Luis Miguel,Eb,89,1991,Pop,
One,U2,Am,90,1992,Pop,
Roar,Katy Perry,Bb,90,2013,Pop,
Peaches,Justin Bieber & Daniel Caesar & Giveon,C,90,2021,Pop,
If I Were a Boy,Beyoncé,F#,90,2008,Pop,
Cheap Thrills,Sia,F#m,90,2016,Pop,
The Shadow of Your Smile,Engelbert Humperdinck,Gm,90,1968,Pop,
Memories,Maroon 5,B,91,2019,Pop,
Diamonds,Rihanna,Bm,92,2012,Pop,
Too Good at Goodbyes,Sam Smith,Dm,92,2017,Pop,
We Are Young,Fun & Janelle Monáe,F,92,2011,Pop,
One,Mary J. Blige & U2,A,93,2005,Pop,
Starboy,The Weeknd & Daft Punk,Am,93,2016,Pop,
Human Nature,Michael Jackson,D,93,1983,Pop,
I Feel It Coming,The Weeknd & Daft Punk,Eb,93,2016,Pop,
Love Nwantiti (Ah Ah Ah),CKay & Joeboy & Kuami Eugene,Fm,93,2019,Pop,
Lovely Day,Billy Ocean & YolanDa Brown & Ruti,A,94,2021,Pop,
Love On Top,Beyoncé,C,94,2011,Pop,
Help!,The Beatles,A,95,1965,Pop,
Bam Bam,Camila Cabello & Ed Sheeran,Ab,95,2022,Pop,
Love Me Like You Do,Ellie Goulding,Ab,95,2014,Pop,
Friends,Anne-Marie & Marshmello,Am,95,2018,Pop,
A Thousand Miles,Vanessa Carlton,B,95,2002,Pop,
Strawberry Fields Forever,The Beatles,Bb,95,1967,Pop,
Oops!... I Did It Again,Britney Spears,C#m,95,2000,Pop,
Young,Wiz Khalifa & Snoop Dogg,D,95,2011,pop,
This Love,Maroon 5,Eb,95,2002,Pop,
Smile,Lily Allen,F,95,2006,Pop,
Closer,The Chainsmokers & Halsey,Fm,95,2016,Pop,
Put Your Records On,Corinne Bailey Rae,A,96,2006,Pop,
"Taki Taki,""DJ Snake & Selena Gomez, Ozuna & Cardi B"",C#m,96,2018,Pop,"
Shape of You,Ed Sheeran,C#m,96,2017,Pop,
Shape of You (Stormzy Remix),Ed Sheeran,C#m,96,2017,Pop,
Watermelon Sugar,Harry Styles,Dm,96,2019,Pop,
Valerie (Live BBC Radio 1 in Lounge),Amy Winehouse,Eb,96,2007,Pop,
Blank Space (Taylor's Version),Taylor Swift,F,96,2023,Pop,
Just the Two of Us,Grover Washington Jr. & Bill Withers,Fm,96,1981,Pop,
Shallow,A Star is Born (2018 film) (Lady Gaga & Bradley Cooper),G,96,2018,Pop,
Yukon,Justin Bieber,Gm,96,2025,Pop,
Say Something,Justin Timberlake & Chris Stapleton,Cm,97,2018,Pop,
Inolvidable,Luis Miguel,Cm,97,1991,Pop,
Hey Soul Sister (Country Mix),Train,E,97,2010,Pop,
Single Ladies (Put a Ring on It),Beyoncé,E,97,2008,Pop,
Change the World,Eric Clapton,E,97,1996,Pop,
South of the Border,Ed Sheeran & Camila Cabello & Cardi B,Dm,98,2019,Pop,
Lovely Day,Bill Withers,E,98,1977,Pop,
Dance Monkey,Tones and I,F#m,98,2019,Pop,
What's Love Got to Do with It,Tina Turner,G#m,98,1984,Pop,
Lean On,Major Lazer & MØ & DJ Snake,Gm,98,2015,Pop,
Adore You,Harry Styles,Cm,99,2019,Pop,
Pon de Replay,Rihanna,F#m,99,2005,Pop,
We Don't Talk Anymore,Charlie Puth & Selena Gomez,C#m,100,2016,Pop,
Let Me Love You,DJ Snake & Justin Bieber,Cm,100,2016,Pop,
Sorry,Justin Bieber,Cm,100,2015,Pop,
Worth It,Fifth Harmony & Kid Ink,Cm,100,2015,Pop,
Versace on the Floor (vs David Guetta),Bruno Mars,D,100,2017,Pop,
Happier,Marshmello & Bastille,Dm,100,2018,Pop,
Love Yourself,Justin Bieber,E,100,2015,Pop,
Attention,Charlie Puth,Ebm,100,2017,Pop,
Galway Girl,Ed Sheeran,F#m,100,2017,Pop,
Dancing Queen,ABBA,A,101,1976,Pop,
My Cherie Amour,Stevie Wonder,Db,101,1969,Pop,
"Feels,""Calvin Harris & Katy Perry, Pharrell Williams & Big Sean"",Em,101,2017,Pop,"
"Talk Dirty,Jason Derulo & 2 Chainz,F#,101,2013,Pop,,""Jazz,Latin Music"","
"No Lie,Dua Lipa & Sean Paul,Am,102,2016,Pop,,""Jazz,Latin Music"","
"High,Lighthouse Family,Bb,102,1998,Pop,,""Jazz,Latin Music"","
Kung Fu Fighting,Carl Douglas,D,102,1974,Pop,
Stay,Zedd & Alessia Cara,Fm,102,2017,Pop,
In My Life,The Beatles,A,103,1965,Pop,
La flaca,Santana & Juanes,Am,103,2014,Pop,
La flaca,Jarabe de Palo,Am,103,1996,Pop,
Levitating,Dua Lipa,Bm,103,2020,Pop,
Upside Down,Jack Johnson,E,103,2006,Pop,
I Just Might,Bruno Mars,F,103,2026,Pop,
Espresso,Sabrina Carpenter,Am,104,2024,Pop,
The Best,Tina Turner,F,104,1989,Pop,
All Star,Smash Mouth,F#,104,1999,Pop,
What's Love Got to Do with It,Kygo,B,105,2020,Pop,
Rolling in the Deep,Adele,Cm,105,2010,Pop,
BIRDS OF A FEATHER,Billie Eilish,D,105,2024,Pop,
Mi gente,J Balvin & Willy William,Em,105,2017,Pop,
Mi gente (Remix),J Balvin feat. Beyoncé & Willy William,Em,105,2017,Pop,
You Oughta Know,Alanis Morissette,F#m,105,1995,Pop,
Work From Home,Fifth Harmony & Ty Dolla Sign,Fm,105,2016,Pop,
All You Need Is Love,The Beatles,G,105,1967,Pop,
Havana (No Rap Version),Camila Cabello,Gm,105,2017,Pop,
Havana,Camila Cabello & Young Thug,Gm,105,2017,Pop,
Valerie,Amy Winehouse & Mark Ronson,Eb,106,2007,Pop,
Please Please Please,Sabrina Carpenter,A,107,2024,Pop,
Calm Down (remix),Rema & Selena Gomez,B,107,2022,Pop,
Calm Down,Rema,B,107,2022,Pop,
Thank U,Ariana Grande,Bbm,107,2018,pop,
Down Under,Men at Work,D,107,1981,Pop,
Please Please Please (funky - Sabrina Carpenter),DisCovers,F#m,107,2024,Pop,
24K Magic,Bruno Mars,Fm,107,2016,Pop,
Woman,Doja Cat,Cm,108,2021,Pop,
Set Fire to the Rain,Adele,Dm,108,2011,Pop,
Photograph,Ed Sheeran,E,108,2014,Pop,
With or Without You,U2,D,109,1987,Pop,
I Want to Break Free,Queen,E,109,1984,Pop,
About Damn Time,Lizzo,Ebm,109,2022,Pop,
About Damn Time (clean version),Lizzo,Ebm,109,2022,Pop,
Just the Way You Are,Bruno Mars,F,109,2010,Pop,
DAISIES,Justin Bieber,Ab,110,2025,Pop,
Dance the Night,Barbie (2023 film) (Dua Lipa),Bm,110,2023,Pop,
Un-Break My Heart,Toni Braxton,Bm,110,1996,Pop,
Hollaback Girl,Gwen Stefani,D#m,110,2005,Pop,
Better Together,Jack Johnson,F,110,2005,Pop,
Killing Me Softly,Luther Vandross,F,110,1994,Pop,
Kiss,Prince,A,111,1986,Pop,
Kiss Me More,Doja Cat & SZA,Ab,111,2021,Pop,
Say So,Doja Cat,D,111,2019,Pop,
Grenade,Bruno Mars,Dm,111,2010,Pop,
Don't You (Forget About Me),Simple Minds,E,111,1985,Pop,
Yellow Submarine,The Beatles,F#,111,1966,Pop,
Crazy,Gnarls Barkley,Cm,112,2006,Pop,
Can't Help Falling in Love (Mark Ronson remix),Elvis (film),D,112,2022,Pop,
Eye in the Sky,The Alan Parsons Project,D,112,1982,Pop,
Skate,Silk Sonic,Dm,112,2021,Pop,
Feet Don't Fail Me Now,Joy Crookes,Bbm,113,2021,Pop,
Can't Stop the Feeling,Trolls (Justin Timberlake),C,113,2016,Pop,
I Just Called to Say I Love You (single version),Stevie Wonder,Db,113,1984,Pop,
Taste,Sabrina Carpenter,Eb,113,2024,Pop,
Break My Heart,Dua Lipa,Em,113,2020,Pop,
Promiscuous,Nelly Furtado & Timbaland,Bbm,114,2006,Pop,
And I Love Her,The Beatles,C#m,114,1964,Pop,
Under Pressure,Queen & David Bowie,D,114,1981,Pop,
Last Kiss,Pearl Jam,G,114,1999,Pop,
Paparazzi,Lady Gaga,Ab,115,2008,Pop,
Uptown Funk,Bruno Mars & Mark Ronson,Dm,115,2014,Pop,
Crazy in Love (2014 remix),Beyoncé,Dm,115,2014,Pop,
Cuff It,Beyoncé,Em,115,2022,Pop,
Break My Soul,Beyoncé,G#m,115,2022,Pop,
New Rules,Dua Lipa,Am,116,2017,Pop,
Cold Heart (PNAU remix),Dua Lipa & Elton John,Bbm,116,2021,Pop,
Treasure,Bruno Mars,Cm,116,2012,Pop,
Murder on the Dancefloor (PNAU remix),Sophie Ellis Bextor,E,116,2024,Pop,
We Can't Be Friends (Wait for Your Love),Ariana Grande,F,116,2024,Pop,
Señorita,Shawn Mendes & Camila Cabello,Am,117,2019,Pop,
Love You Like a Love Song,Selena Gomez,C#m,117,2011,Pop,
Water,Tyla,Gb,117,2023,Pop,
Flowers,Miley Cyrus,Am,118,2023,Pop,
Save Your Tears (remix),The Weeknd & Ariana Grande,C,118,2021,Pop,
Save Your Tears,The Weeknd,C,118,2020,Pop,
Safe And Sound,Capital Cities,C,118,2011,Pop,
Dame Un Grrr,Fantomel & Kate Linn,Cm,118,2025,Pop,
Cheerleader (Felix Jaehn Remix),OMI,E,118,2014,Pop,
Next to Me,Rüfüs Du Sol,Em,118,2021,Pop,
Bad Romance,Lady Gaga,Am,119,2009,Pop,
Don't Stop 'Til You Get Enough,Michael Jackson,B,119,1979,Pop,
Man I Need,Olivia Dean,Db,119,2025,Pop,
About Damn Time (Purple Disco Machine remix),Lizzo,Ebm,119,2022,Pop,
Cake By The Ocean (clean),DNCE,Em,119,2015,Pop,
Cake by the Ocean,DNCE,Em,119,2015,Pop,
Poker Face,Lady Gaga,G#m,119,2008,Pop,
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,Gb,119,1987,Pop,
Teenage Dream,Katy Perry,Bb,120,2009,Pop,
The Sweet Escape,Gwen Stefani & Akon,Bbm,120,2006,Pop,
Circles,Post Malone,C,120,2019,Pop,
Just Dance,Lady Gaga & Colby O'Donis,C#m,120,2008,Pop,
It's My Life,Bon Jovi,Cm,120,2000,Pop,
The Game of Love,Santana & Michelle Branch,D,120,2002,Pop,
Sugar,Maroon 5,Db,120,2014,Pop,
Call Me Maybe,Carly Rae Jepsen,G,120,2011,Pop,
Dare,Gorillaz,Gm,120,2005,Pop,
Hot Stuff,Donna Summer,Gm,120,1979,Pop,
What a Fool Believes,The Doobie Brothers,Bbm,121,1978,Pop,
Proud Mary,Creedence Clearwater Revival,D,121,1969,Pop,
Black or White,Michael Jackson,E,121,1991,Pop,
Hear Me Now,Alok & Bruno Martini & Zeeba,B,122,2016,Pop,
There's Nothing Holdin' Me Back,Shawn Mendes,Bm,122,2016,Pop,
This Girl,Kungs,Eb,122,2016,Pop,
Wherever You Go,Alok & John Martin,F,122,2021,Pop,
Bleeding Love (remix),Leona Lewis,F,122,2008,Pop,
Telephone,Lady Gaga & Beyoncé,Fm,122,2009,Pop,
Rain on Me,Lady Gaga & Ariana Grande,C#m,123,2020,Pop,
Everything,Michael Bublé,D,123,2007,Pop,
Kids,MGMT,F#m,123,2008,Pop,
"Manchild,Sabrina Carpenter,G,123,2025,Pop,,""Soul,Pop"","
"Firework,Katy Perry,Ab,124,2010,Pop,,""Soul,Pop"","
This Is What You Came For,Calvin Harris & Rihanna,Am,124,2016,Pop,
Bailamos (remix),Enrique Iglesias,Am,124,1999,Pop,
Don't Start Now,Dua Lipa,Bm,124,2019,Pop,
Don't Start Now (Purple Disco Machine remix),Dua Lipa,Bm,124,2019,Pop,
Don't Start Now (live in LA Remix),Dua Lipa,Bm,124,2020,Pop,
Lose Control,Meduza & Becky Hill & Goodboys,Cm,124,2019,Pop,
Someone You Loved (Future Humans Remix),Lewis Capaldi,Db,124,2019,Pop,
Dreams (tropical remix),DisCovers (Fleetwood Mac),F,124,2024,Pop,
Sweater Weather,The Neighbourhood,Gm,124,2013,Pop,
Man! I Feel Like a Woman!,Shania Twain,Bb,125,1996,Pop,
Wolves,Selena Gomez & Marshmello,Bm,125,2017,Pop,
Bad Dreams,Teddy Swims,Cm,125,2024,Pop,
A Sky Full of Stars,Coldplay,Ebm,125,2014,Pop,
California Gurls,Katy Perry & Snoop Dogg,F,125,2010,Pop,
I Love It,Icona Pop & Charli XCX,Ab,126,2012,Pop,
Bad Habits,Ed Sheeran,Bm,126,2021,Pop,
Only Girl (In the World),Rihanna,D,126,2010,Pop,
Everything (i-Soul Remix),Michael Bublé,D,126,2008,Pop,
It's My Life,No Doubt,E,126,2003,Pop,
Que calor,Major Lazer & J Balvin & El Alfa,Eb,126,2019,Pop,
Titanium,David Guetta & Sia,Eb,126,2011,Pop,
Closer,Ne-Yo,Em,126,2008,Pop,
Last Friday Night (T.G.I.F.),Katy Perry,F#,126,2010,Pop,
Waka Waka (Remix),Shakira,D,127,2010,Pop,
Calma (Remix),Pedro Capó & Farruko,D,127,2018,Pop,
I Know You Want Me (Calle Ocho),Pitbull,Dm,127,2009,Pop,
Y.M.C.A.,Village People,F#,127,1978,Pop,
Moves Like Jagger,Maroon 5 & Christina Aguilera,Bm,128,2011,Pop,
Who Can It Be Now,Men at Work,C#m,128,1982,Pop,
Where Have You Been,Rihanna,Cm,128,2011,Pop,
Destination Calabria,Alex Gaudino,Dm,128,2007,Pop,
We Found Love,Rihanna & Calvin Harris,Ebm,128,2011,Pop,
S&M,Rihanna,Ebm,128,2010,Pop,
